lat,temp,humidity,windspeed,precip,fire,month,ffmc,dmc,dc,isi,bui,fwi
60.966,31.4,60.0,13.6,0.0,0,7,87.2,9.1,24.4,5.7,9.4,6.0
60.966,31.9,64.5,15.5,0.0,0,7,86.6,8.8,24.4,5.7,9.3,5.9
60.966,26.8,65.0,22.2,0.0,1,7,85.7,8.3,23.5,7.1,8.8,7.1
60.9917,31.6,65.7,19.8,0.0,0,7,86.3,8.6,24.4,6.8,9.1,6.9
60.9917,28.2,64.3,21.4,0.0,0,7,86.0,8.5,23.8,7.1,9.0,7.2
60.9917,26.1,60.2,14.2,0.0,1,7,86.3,8.5,23.4,5.2,8.9,5.3
62.0579,31.0,61.9,21.4,1.0,0,7,85.6,8.9,24.3,6.7,9.3,6.9
62.0579,25.3,54.4,14.2,0.0,0,7,87.0,8.8,23.3,5.7,9.1,5.9
62.0579,29.0,57.4,28.6,0.0,1,7,87.3,9.0,23.9,12.3,9.3,11.6
62.0145,25.3,54.4,14.2,0.0,0,7,87.0,8.8,23.3,5.7,9.1,5.9
62.0145,29.0,57.3,28.6,0.0,0,7,87.3,9.0,23.9,12.3,9.3,11.6
62.0145,23.0,64.6,17.9,0.8,1,7,83.7,8.0,22.8,4.4,8.5,4.3
62.0749,29.0,57.4,28.6,0.0,0,7,87.3,9.0,23.9,12.3,9.3,11.6
62.0749,23.0,64.6,17.9,0.8,0,7,83.7,8.0,22.8,4.4,8.5,4.3
62.0749,20.1,63.0,21.4,0.0,1,7,85.1,7.8,22.3,6.3,8.3,6.2
62.8468,24.1,52.0,8.2,0.0,0,7,87.1,8.8,23.0,4.3,9.0,4.4
62.8468,26.6,46.4,13.3,0.0,0,7,88.5,9.5,23.5,6.8,9.5,7.1
62.8468,25.7,49.1,11.5,0.1,1,7,87.9,9.2,23.3,5.7,9.3,5.9
58.989,25.2,73.9,11.5,2.9,0,7,70.5,5.4,20.9,1.1,6.6,0.5
58.989,23.2,64.7,13.6,0.0,0,7,85.3,8.0,22.9,4.4,8.5,4.3
